name,longitude,latitude,distance,gain,elevation,reward_scale,address,altitude
rough-green-lark,-78.61668685,43.97856548,16774.94526,40,5,1,115u1RVgfQRRJKQDxE8qaY2mDYkZRwLoRkz3kWq8cZFYjn5Mavn,166
helpful-tartan-mouse,-78.9832258,43.83689369,16782.99666,28,3,0.800003052,112VH9kM5eKTqzYE9at4AEiefCmctxPynU2wR8QqLhWhsyo5B4JZ,83
curly-olive-woodpecker,-78.99219153,43.84718145,16795.24287,12,0,1,11AnUMyZLLBnSEwUA5WgxUBcMfsi9W1VhL1iD9J3sRvp9QaoQRd,85
recumbent-charcoal-rattlesnake,-78.97996707,43.83301478,16814.49453,80,0,1,1123QRbrsCsCquN3xTNyWvoWfpwdYMsSwfPypR5uc1WRSkLYkC1T,83
refined-opaque-chimpanzee,-79.01378531,43.88628888,16823.94996,40,7,0.471481323,112MuxgqGfjFG5WRgYwgFm3Tmz1boQHR6mVTftL2c447qF5sCWhw,110
salty-mercurial-mandrill,-78.59991818,43.9222887,16875.21163,12,0,1,11qcr8BUa1Uf6jDYUuQdG9BtM2JhpRRArnKU2YhTyxEquhYWXpi,103
expert-chocolate-fly,-78.98954223,44.00152419,16942.21274,40,4,1,112CtvHh5HLEDj7njCswfXATx7HLuxLQRg127eTtfLdafSqRYjDq,255
flaky-alabaster-osprey,-79.01797926,43.89381695,16980.80328,40,6,0.471481323,1125nK8gSrHXHYZHoFEZnSRY9Myk9MkrQu6hHNShtVe9QwppGrcT,112
real-magenta-chipmunk,-79.01964689,43.90017026,16999.99893,58,5,0.990097046,11swGGwpXePMA5v7JYc7J2Vf5cYnavmPK97tmEHvDQHfLvNJ8mu,112
brilliant-brunette-liger,-78.59862701,43.91354499,17001.5629,60,8,1,112c3EMqDToYKc5SwbsYx3uUitfEq1bWoEazyk5j98B654Tj3gJ8,100
eager-orchid-deer,-79.01887112,43.89381152,17051.3938,12,0,0.303024292,11NCRYsRj3EKGqTSXrNzK5imr1oLvySu7BFjwkzfTS1ZR4jBoCV,112
radiant-citron-skunk,-79.0062521,43.86195351,17089.21773,40,0,0.990097046,11WMmAMncZ7RGGY5PnennqBeCvWaSmzpCJUhQDjwYcbZxNJVNg8,98
energetic-admiral-poodle,-79.00802442,43.86497989,17094.40924,40,0,0.990097046,11vAqaFvvH2b8W6yuSeR6N1Bswv9cUuwBcwfifdiNhzmdj4qkqb,98
real-blonde-viper,-78.98434893,43.83282541,17113.87848,40,6,1,11h9YvBAMsm3TjDQYg8mbVms5pvgrLWfjUetgAevLbtYzK26F39,83
old-wooden-manatee,-79.01928586,43.89220793,17117.131,12,0,0.471481323,112WB7xooqyqjSJcVJegED2e5B6KZ5RPGAZR8zUatnNVVrMcoUAN,110
lone-taffy-cat,-78.59692636,43.91843575,17118.60707,12,0,1,112kA2gfDhpepuuD4A4qbs5mY43vC75D5sVgV8zXDUr6Gsdwb6bT,98
zany-hazelnut-aardvark,-78.98123354,43.82927407,17142.21152,58,12,1,112kEqyTe9WphjbDeiExdNM9H2oGRaLGhkwYUcshdveKqNRxnHW,75
low-rose-chicken,-78.98658564,43.83334581,17228.43966,58,4,1,112KGZMXwmC5GuBH5cvRCVT3kdpXLearLDbPBjT49geJTgSZ8ThM,82
sneaky-charcoal-cobra,-79.0191356,43.8862564,17243.2344,23,0,0.909088135,11FPRqNUbNxNzpnkgSB493JX38k8yQv8AY95wzRGtbZg1NvqUvS,110
uneven-raspberry-aardvark,-78.99876624,43.84689657,17272.84749,120,0,1,11WpiAggkCBbCdGKF4nj8KpEmfEeZuQxNrWVkmZ8pPTRHLa9xps,84
brief-stone-shell,-79.02353218,43.89883271,17330.11759,12,0,,115DF9YPr8imHn9538hKDDQDSKfbyZmYPVjRPraaJHWGA3g6HSn,125
huge-sky-mammoth,-78.99920156,43.84636056,17332.16069,50,9,1,11h3VHtzfSWHsafo9UsMLR1XdTRRNASUsqTsiAhj8eQ5PUuEhdA,84
ambitious-taffy-corgi,-79.01759611,43.87764565,17366.42345,40,17,1,112gw6vTNQ9yRTfmkvsgGFay7VCYKvi6M2y4QNLRRQQhjJUyBT4q,107
narrow-blood-mongoose,-78.98880234,43.83279956,17409.72452,40,4,1,11Z8QE1mgmcGrc9jpCkZPybUVgVqWp2CQ4zuGhngcqqPqFHerjW,82
dizzy-blood-jellyfish,-78.59272081,43.91331281,17476.66424,40,10,1,112H8EZHJRf4AYfJgPrDjEE4p8trHK8aF85t7aBtWZa5w8p2ZEbB,98
proper-heather-dragon,-79.01705702,43.87284661,17482.21423,80,5,0.942947388,11vuXZudE3nT3g4KHnKVLkdiZGrjUQDDxQqaBTWgrm8MKT4r8uP,109
creamy-cobalt-kangaroo,-79.0255361,43.89779402,17506.41031,12,0,0.990097046,112N1mETi8AefJ1SqD7Rzi5Bfkw4wxRpF25NsB3Urp4y4YSv5RFs,125
beautiful-mustard-panda,-79.02512316,43.89073536,17608.86296,40,9,0.942947388,11bN2ivVJpMBmNNmmxsWiiyiqmd9AJb6apKvWMADvdHf45M1VkN,124
helpful-plastic-goblin,-79.0135255,43.86223811,17618.01532,12,0,0.990097046,113BAFLgHFEdYaroJNmmvi21grfcEks2dhsz4VysFZZnWEyiPeN,103
odd-rose-frog,-79.02364507,43.88532573,17619.63784,26,5,0.942947388,112NLBmZ9YwFL7S51XocMfjAR7ry4Btur3vuo2Bp7PLEEWW6fKYF,124
high-taffy-poodle,-78.99250829,43.83310614,17637.35838,40,4,1,11Z9A5CSMYeLnv1Cgqi2xSFhfyqReq1mfJrigLSVe6XeP4XYKaC,82
melodic-raisin-sealion,-79.01635383,43.86665339,17653.92062,40,21,0.990097046,11jnM8xZ1aXWHm5qAWL34A5soqiaXtbZ1qBjcUBd4wb3j1zwxSh,109
expert-blonde-antelope,-79.02606135,43.89134537,17669.84862,40,6,0.471481323,11YdmqVxFS22QdV5cfwBHt3pm7tzRakNjdkg32EPFub6MQcjWnp,124
stale-denim-mule,-79.00265289,43.84404227,17699.65696,100,5,1,112rpdsMNgUPWTZ3uY9ebajm5aAMcD2STMu6frqCQMfifqP84FPt,88
curved-viridian-sawfish,-79.02639952,43.89109698,17701.77394,58,6,0.471481323,11RandpBdeTNAzeg4BRRttqHSDxoLJnmPaf65Qif2a7Hxw2czwY,124
teeny-hickory-boa,-79.00795233,43.85053496,17741.30913,26,10,0.9375,112RBnjrRJo4zNLaBtMd4CsqCg6Ng2FhwrF8wBMEdDnkaymprbh,92
deep-blood-elk,-78.99114774,43.82999607,17742.12112,90,14,1,1124JDgxJEYgxaaiCy1BQd4dGz4wzpahRaDskY9qRe6ha8G1xsy,76
generous-boysenberry-pig,-78.99114774,43.82999607,17742.12112,90,14,1,112LWwApvFds2K7XWB12QULm1sj8tLfnzLRdttZfNizAp9KVqXjd,76
wide-velvet-mule,-79.02616757,43.88801955,17751.95433,58,5,0.942947388,11213crKHbumDVFFypmATYg9bf9TMA4oNnNDU3x5srVPgMyBRfzJ,124
furry-charcoal-mongoose,-79.02867278,43.89678936,17772.496,40,20,0.990097046,11kZwDzBjokPw9B8q3R4TfN9fonB3GhbG4PQkn9CHqYz7yd4Smz,125
droll-denim-cuckoo,-79.02803063,43.8937964,17776.07257,40,8,0.990097046,1128WR4PeJUFaorekPi6V3UynAsNA3XKezBYX6JqzckNZPTNHX6o,125
tricky-quartz-yeti,-79.00888947,43.85114487,17778.96835,80,5,1,11ivdM1a3ePgmtuHCZQHJJteVvJyJHPngZTBeNT4JUGKcobfNq5,92
narrow-quartz-chimpanzee,-79.0278958,43.89043092,17833.98576,40,0,0.377182007,11AwEhJ6jKwDXC9HhSu9UwsJGtxDMYN1AULVSmeCRfM3erw3qhY,124
low-orchid-sidewinder,-79.01653724,43.86197363,17853.6954,40,0,0.900085449,11s5CPN2sueTAsFfR7mQVPyRsbKKbChZnWtMyrKAbGiA2FEnBUP,103
hidden-iris-swan,-79.02830578,43.89034629,17868.12652,40,0,0.356506348,11fxifrNjcgyvyMNvtZzGyDBMFg1KtMtSAg6iNTXZEQuoFVGAC9,124
magic-hazel-sardine,-79.02565738,43.88124955,17884.94164,40,5,0.942947388,11QhtYpqezRfhbx2BWhNZMjhxZzE1nRLTKBLvVQcFpcZHGxC8cu,118
square-clear-copperhead,-79.0044655,43.84206196,17934.3871,28,4,1,114mVwzYmZ8fnX1yyoL4fDafREfQziwBP6pyNJVEvykWue6YsL8,88
puny-syrup-troll,-78.99513994,43.8309573,17946.26625,30,0,1,11Mmdf2ApwdoTvdsJwQCcgoDkHMwCKab4DaGZx9LS75MWw277Pw,82
